seq	start	end	strand	nTSSs	nTAGs	tsrPeak	tsrWdth	tsrTrq	tsrSI	tsrMSI	featureID	modalTSS
98489	chr1	222886114	222886220	+	57	480	0.21	107	1.74	-2.36	0.25	NA	222886171
98491	chr1	222886642	222886842	+	66	569	0.23	201	-11.37	-1.98	0.34	NA	222886731
98574	chr1	222988330	222988469	+	46	187	0.22	140	-2.9	-2.41	0.2	NA	222988398
98822	chr1	223900100	223900334	+	35	101	0.15	235	5.68	-2.43	0.14	NA	223900239
98891	chr1	224180396	224180513	+	33	126	0.1	118	12.78	-2.65	0.08	NA	224180460
98976	chr1	224199782	224199832	+	13	55	0.6	51	-2.51	-0.36	0.36	NA	224199802
98983	chr1	224200288	224200384	+	23	63	0.22	97	4.98	-1.93	0.13	NA	224200354
98985	chr1	224200504	224200681	+	48	107	0.13	178	-1.23	-3.2	0.07	NA	224200567
98989	chr1	224200886	224201226	+	77	145	0.06	341	18.76	-3.98	0.05	NA	224201207
98993	chr1	224201603	224201767	+	37	72	0.12	165	-10.28	-2.89	0.06	NA	224201675
98997	chr1	224202036	224202336	+	49	148	0.34	301	14.01	-2.23	0.25	NA	224202211
99004	chr1	224202753	224202772	+	10	157	0.34	20	4.65	-0.71	0.18	NA	224202771
99005	chr1	224202808	224203051	+	39	77	0.12	244	-6.41	-2.95	0.06	NA	224202859
99013	chr1	224203623	224203741	+	32	117	0.4	119	-5.55	-1.68	0.26	NA	224203675
99076	chr1	224301759	224301831	+	45	1333	0.27	73	13.24	-1.5	0.36	NA	224301811
99216	chr1	224370889	224371019	+	37	187	0.58	131	-9.95	-1.01	0.42	NA	224370940
99292	chr1	224380918	224381031	+	37	683	0.34	114	-29.27	-1.18	0.39	NA	224380935
99313	chr1	224485959	224485959	+	1	500	1	1	0	2	1	NA	224485958
99329	chr1	224544553	224544639	+	54	379	0.12	87	5.46	-2.67	0.19	NA	224544587
99512	chr1	224763028	224763069	+	7	138	0.52	42	-16.54	0.35	0.41	NA	224763030
99515	chr1	224763302	224763304	+	3	127	0.83	3	-0.02	1.19	0.49	NA	224763302
99551	chr1	224920903	224920968	+	8	55	0.78	66	-25.95	0.67	0.56	NA	224920903
99552	chr1	224921084	224921240	+	24	67	0.49	157	-19.37	-1.14	0.32	NA	224921103
99558	chr1	224921626	224921817	+	62	538	0.19	192	20.07	-2.37	0.27	NA	224921728
99625	chr1	225117326	225117450	+	41	235	0.31	125	-2.28	-1.75	0.3	NA	225117392
99830	chr1	225965479	225965685	+	104	2224	0.23	207	-29.52	-2.88	0.27	NA	225965546
99878	chr1	225977010	225977178	+	34	84	0.11	169	13.13	-2.66	0.08	NA	225977095
99891	chr1	225977833	225977837	+	4	74	0.86	5	1.8	1.27	0.64	NA	225977836
99893	chr1	225977914	225977965	+	18	133	0.41	52	-12.78	-0.67	0.36	NA	225977925
99894	chr1	225978020	225978039	+	7	55	0.67	20	7.55	0.35	0.41	NA	225978037
99895	chr1	225978078	225978142	+	22	437	0.34	65	10.98	-0.93	0.34	NA	225978137
99972	chr1	226187315	226187318	+	4	72	0.83	4	-0.49	1.13	0.56	NA	226187315
99997	chr1	226250369	226250434	+	31	824	0.51	66	14.08	-0.74	0.45	NA	226250424
100070	chr1	226298344	226298357	+	6	54	0.44	14	3.37	0.33	0.36	NA	226298354
100085	chr1	226314854	226314867	+	6	67	0.85	14	-3.4	1.1	0.65	NA	226314856
100334	chr1	227058250	227058348	+	37	258	0.31	99	5.45	-1.8	0.27	NA	227058315
100371	chr1	227087560	227087560	+	1	90	1	1	0	2	1	NA	227087559
100384	chr1	227127955	227128066	+	37	186	0.31	112	-17.62	-1.88	0.25	NA	227127997
100566	chr1	227751197	227751290	+	52	631	0.18	94	0.01	-2.51	0.21	NA	227751240
100786	chr1	227916299	227916408	+	25	124	0.21	110	-4.1	-1.76	0.19	NA	227916350
100801	chr1	227923091	227923198	+	49	620	0.19	108	12.2	-2.36	0.22	NA	227923164
100995	chr1	228270328	228270480	+	81	7349	0.51	153	13.39	-0.8	0.56	NA	228270421
101084	chr1	228285989	228286116	+	25	67	0.19	128	-17.75	-2.14	0.11	NA	228286042
101091	chr1	228286536	228286691	+	33	107	0.21	156	30.91	-1.86	0.24	NA	228286681
101092	chr1	228286723	228286827	+	27	451	0.41	105	-18.39	-0.43	0.49	NA	228286755
101142	chr1	228327884	228328100	+	138	12625	0.26	217	-6.5	-2.19	0.41	NA	228327978
101150	chr1	228329057	228329118	+	19	52	0.19	62	-6.48	-1.6	0.15	NA	228329061
101191	chr1	228335093	228335203	+	33	57	0.11	111	0.47	-2.77	0.05	NA	228335173
101200	chr1	228336548	228336624	+	32	1421	0.74	77	22.75	0.31	0.66	NA	228336611
101256	chr1	228366761	228366786	+	12	67	0.19	26	-2.44	-1.05	0.15	NA	228366765
101317	chr1	228457271	228457279	+	7	65	0.49	9	0.18	0.14	0.34	NA	228457273
101464	chr1	228675050	228675171	+	66	3179	0.34	122	-22.86	-1.28	0.46	NA	228675093
101466	chr1	228675254	228675340	+	25	62	0.18	87	-7.5	-2.05	0.13	NA	228675289
101467	chr1	228675370	228675561	+	39	63	0.08	192	53.53	-2.95	0.06	NA	228675536
101471	chr1	228676654	228676763	+	36	92	0.12	110	-27.59	-2.73	0.09	NA	228676670
101484	chr1	228680746	228680886	+	51	112	0.12	141	1.26	-3.16	0.09	NA	228680828
101644	chr1	229342861	229342866	+	2	524	0.91	6	-2.03	1.55	0.55	NA	229342860
101806	chr1	229761911	229762049	+	47	208	0.09	139	-9.26	-2.91	0.12	NA	229761952
101960	chr1	230202797	230203078	+	75	332	0.17	282	43.98	-2.93	0.21	NA	230203015
102199	chr1	230417411	230417584	+	48	552	0.18	174	14.29	-2.15	0.26	NA	230417486
102200	chr1	230417617	230417741	+	50	343	0.22	125	-25.16	-2.2	0.26	NA	230417636
102256	chr1	230747757	230747763	+	4	169	0.89	7	1.99	1.38	0.69	NA	230747761
102263	chr1	230778205	230778303	+	35	151	0.15	99	-11.54	-2.44	0.13	NA	230778227
102371	chr1	231114777	231114901	+	67	2990	0.16	125	-4.94	-2.28	0.3	NA	231114838
102502	chr1	231376912	231377114	+	95	2065	0.26	203	-43.91	-2.38	0.33	NA	231376967
102641	chr1	231473692	231473874	+	65	363	0.26	183	-5.13	-2.67	0.22	NA	231473793
102643	chr1	231473993	231474044	+	19	105	0.24	52	-1.48	-1.48	0.18	NA	231474037
102743	chr1	231664355	231664522	+	73	1107	0.18	168	-19.26	-2.71	0.24	NA	231664401
103026	chr1	232884461	232884466	+	6	74	0.59	6	-0.19	0.26	0.33	NA	232884462
103030	chr1	232941069	232941191	+	41	210	0.14	123	8.34	-2.46	0.17	NA	232941131
103062	chr1	233086309	233086425	+	67	802	0.29	117	-5.22	-2.43	0.27	NA	233086355
103131	chr1	233114326	233114342	+	9	78	0.37	17	-0.14	-0.58	0.19	NA	233114334
103239	chr1	233749250	233749401	+	21	51	0.33	152	10.99	-1.54	0.2	NA	233749314
103241	chr1	233749527	233749729	+	47	235	0.12	203	23.07	-2.61	0.17	NA	233749718
103242	chr1	233749794	233750047	+	111	635	0.13	254	-28.52	-3.35	0.21	NA	233749850
103243	chr1	233750088	233750247	+	29	54	0.11	160	-10.98	-2.54	0.07	NA	233750087
103407	chr1	233807187	233807402	+	52	154	0.18	216	3.93	-2.89	0.14	NA	233807310
103408	chr1	233807429	233807610	+	42	112	0.19	182	-4.12	-2.71	0.13	NA	233807482
103413	chr1	233807932	233807956	+	9	181	0.82	25	9.71	0.92	0.66	NA	233807954
103519	chr1	234349942	234350029	+	26	140	0.34	88	-12.52	-1.66	0.22	NA	234349963
103589	chr1	234492695	234492736	+	11	129	0.77	42	8.76	0.61	0.6	NA	234492723
103623	chr1	234509153	234509552	+	266	11945	0.13	400	-62.04	-3.69	0.29	NA	234509200
103629	chr1	234509963	234509990	+	18	385	0.56	28	-6.6	-0.21	0.47	NA	234509966
103630	chr1	234510029	234510089	+	14	114	0.44	61	-23.43	-0.47	0.35	NA	234510031
103950	chr1	235147877	235148022	+	33	109	0.16	146	27.93	-2.33	0.14	NA	235148000
104105	chr1	235491841	235491976	+	47	1666	0.73	136	-22.86	0.23	0.68	NA	235491883
104108	chr1	235492096	235492350	+	65	162	0.12	255	26.19	-3.32	0.12	NA	235492267
104181	chr1	235530710	235530820	+	38	1031	0.58	111	-23.52	-0.52	0.52	NA	235530743
104430	chr1	236305780	236305878	+	36	183	0.19	99	2.63	-2.13	0.2	NA	236305832
104432	chr1	236306040	236306154	+	32	85	0.15	115	-1.82	-2.4	0.12	NA	236306071
104714	chr1	236557625	236557702	+	23	100	0.22	78	-18.89	-1.69	0.18	NA	236557641
104720	chr1	236558613	236558809	+	66	347	0.25	197	24.82	-2.62	0.24	NA	236558739
104786	chr1	236646432	236646574	+	49	1467	0.39	143	-18.2	-1.32	0.41	NA	236646509
104787	chr1	236646600	236646719	+	59	1887	0.31	120	-13.49	-1.32	0.44	NA	236646640
104788	chr1	236646749	236646766	+	18	675	0.31	18	-0.51	-1.41	0.18	NA	236646759
104791	chr1	236646971	236646985	+	8	163	0.69	15	5.3	0.39	0.46	NA	236646983
104792	chr1	236647018	236647119	+	28	237	0.44	102	-11.88	-1.2	0.33	NA	236647052
104817	chr1	236687176	236687341	+	82	1197	0.35	166	16.01	-2.22	0.34	NA	236687283
104921	chr1	236713660	236713758	+	16	93	0.7	99	-9.35	0.05	0.51	NA	236713697
104975	chr1	236958534	236958767	+	91	1002	0.2	234	-33.93	-2.53	0.3	NA	236958590
104991	chr1	236964240	236964240	+	1	123	1	1	0	2	1	NA	236964239
105237	chr1	237063743	237063838	+	19	56	0.45	96	-5.41	-1.17	0.25	NA	237063779
105270	chr1	237066604	237066694	+	12	62	0.69	91	-10.66	0.19	0.5	NA	237066631
105302	chr1	237144611	237144628	+	15	2516	0.44	18	1.68	-0.03	0.48	NA	237144622
105314	chr1	237171138	237171138	+	1	90	1	1	0	2	1	NA	237171137
105389	chr1	237766505	237766575	+	18	106	0.3	71	8.17	-1.16	0.24	NA	237766550
105415	chr1	237977849	237977850	+	2	53	0.74	2	0.24	1.17	0.17	NA	237977849
105432	chr1	238090316	238090354	+	20	179	0.49	39	6.79	-0.67	0.38	NA	238090348
105459	chr1	238225685	238225984	+	94	779	0.19	300	-69.97	-2.92	0.25	NA	238225735
105725	chr1	238466602	238466603	+	2	59	0.58	2	0.08	1.02	0.02	NA	238466602
106082	chr1	239057477	239057484	+	5	73	0.59	8	0.91	0.37	0.3	NA	239057481
106191	chr1	239829865	239829869	+	5	61	0.61	5	-1.02	0.46	0.34	NA	239829864
106521	chr1	242011455	242011596	+	63	975	0.27	142	-15.38	-1.87	0.35	NA	242011504
106597	chr1	242048697	242048784	+	18	50	0.22	88	-2.04	-1.77	0.1	NA	242048758
106602	chr1	242052842	242052849	+	7	53	0.62	8	-1.93	0.26	0.38	NA	242052842
106842	chr1	243419292	243419465	+	80	1622	0.23	174	-13.21	-2.43	0.3	NA	243419370
106887	chr1	243456422	243456444	+	9	65	0.71	23	7.98	0.32	0.47	NA	243456441
107336	chr1	244816349	244816472	+	32	144	0.12	124	-5.69	-2.48	0.1	NA	244816373
107477	chr1	244998608	244998664	+	15	58	0.45	57	-8.52	-0.6	0.33	NA	244998627
107480	chr1	244998930	244999074	+	67	1609	0.21	145	-14.87	-2.42	0.27	NA	244998995
107528	chr1	245007648	245007684	+	6	65	0.83	37	-4.88	1	0.61	NA	245007660
107788	chr1	245809418	245809507	+	22	50	0.2	90	14.4	-1.88	0.13	NA	245809480
107966	chr1	246729635	246729911	+	105	1063	0.11	277	46.07	-3.41	0.19	NA	246729802
108128	chr1	246887569	246887913	+	125	2916	0.26	345	-40.84	-2.12	0.41	NA	246887712
108274	chr1	247289673	247289766	+	28	196	0.28	94	1.82	-1.79	0.21	NA	247289726
108291	chr1	247293245	247293299	+	15	71	0.24	55	-2.65	-1.25	0.17	NA	247293274
108420	chr1	247395333	247395341	+	7	146	0.48	9	0.55	0.27	0.38	NA	247395336
108552	chr1	247570668	247570750	+	13	55	0.44	83	22.55	-0.62	0.29	NA	247570739
108583	chr1	247606985	247606986	+	2	80	0.85	2	0.35	1.39	0.39	NA	247606985
108735	chr1	248591623	248591712	+	18	66	0.36	90	-26.85	-1.1	0.26	NA	248591626
108738	chr1	248595268	248595292	+	5	53	0.92	25	-0.91	1.46	0.77	NA	248595278
108750	chr1	248611924	248612017	+	24	120	0.27	94	11.96	-1.66	0.2	NA	248611982
108754	chr1	248612257	248612666	+	149	1967	0.15	410	102.72	-3.44	0.25	NA	248612618
109091	chr1	248729326	248729378	+	13	64	0.27	53	-1.28	-0.99	0.19	NA	248729330
109136	chr1	248804769	248804853	+	22	56	0.21	85	9.21	-1.96	0.11	NA	248804807
109196	chr1	249132393	249132726	+	103	447	0.18	334	-57.67	-3.48	0.18	NA	249132444
109282	chr1	249200394	249200512	+	33	104	0.19	119	-7.88	-2.32	0.14	NA	249200441
109330	chr1	29308	29374	-	22	67	0.12	67	2.7	-2.03	0.1	NA	29335
109341	chr1	564493	564595	-	34	258	0.24	103	21.98	-1.52	0.31	NA	564583
109342	chr1	564625	564824	-	122	2621	0.14	200	10.5	-3.15	0.26	NA	564736
109343	chr1	564898	564960	-	21	103	0.39	63	3.25	-1.21	0.27	NA	564941
109345	chr1	565131	565403	-	84	329	0.14	273	48.85	-3.37	0.16	NA	565346
109348	chr1	565536	565582	-	18	210	0.51	47	-9.31	-0.51	0.4	NA	565537
109349	chr1	565619	566046	-	194	3634	0.06	428	21.04	-3.99	0.21	NA	565783
109350	chr1	566083	566155	-	28	5159	0.87	73	14.58	1.19	0.83	NA	566135
109351	chr1	566221	566293	-	13	93	0.74	73	10.75	0.45	0.58	NA	566269
109352	chr1	566451	566472	-	8	207	0.37	22	-1.03	-0.1	0.3	NA	566460
109356	chr1	566720	566774	-	14	86	0.64	55	15.92	-0.17	0.43	NA	566769
109358	chr1	566876	566948	-	15	55	0.27	73	-16.38	-1.15	0.19	NA	566898
109362	chr1	567148	567189	-	21	483	0.58	42	-4.45	-0.35	0.47	NA	567166
109364	chr1	567276	567402	-	34	547	0.59	127	29.92	-0.08	0.59	NA	567371
109366	chr1	567516	567696	-	48	216	0.21	181	14.19	-2.75	0.15	NA	567638
109367	chr1	567729	567776	-	20	54	0.2	48	5.78	-1.82	0.12	NA	567748
109368	chr1	567834	567847	-	6	57	0.82	14	-2.24	0.94	0.59	NA	567837
109369	chr1	567915	567986	-	35	226	0.26	72	-0.57	-2.2	0.18	NA	567948
109370	chr1	568013	568082	-	40	663	0.11	70	-14.8	-2.41	0.17	NA	568018
109371	chr1	568136	568187	-	13	70	0.31	52	-15.76	-0.73	0.26	NA	568142
109373	chr1	568285	568419	-	61	738	0.35	135	-7.03	-1.98	0.33	NA	568342
109374	chr1	568462	568571	-	71	1416	0.29	110	-2.45	-2.12	0.33	NA	568492
109375	chr1	568604	568610	-	5	172	0.75	7	1.79	0.93	0.54	NA	568609
109379	chr1	568801	568844	-	23	271	0.21	44	1.15	-1.55	0.22	NA	568821
109381	chr1	568934	568995	-	16	70	0.41	62	8.4	-0.95	0.26	NA	568971
109383	chr1	569081	569492	-	208	7056	0.22	412	63.48	-3.41	0.3	NA	569324
109384	chr1	569517	569721	-	135	6620	0.12	205	43.46	-2.94	0.3	NA	569688
109385	chr1	569747	569873	-	68	7287	0.49	127	-46.52	-0.4	0.61	NA	569760
109386	chr1	569907	569981	-	32	221	0.22	75	14.75	-1.95	0.21	NA	569969
109388	chr1	570125	570176	-	21	50	0.2	52	9.18	-1.9	0.11	NA	570172
109389	chr1	570206	570303	-	46	808	0.24	98	-11.48	-1.91	0.29	NA	570239
109397	chr1	713989	714066	-	34	157	0.15	78	-3.5	-2.15	0.18	NA	714012
109459	chr1	762824	762906	-	32	529	0.36	83	21.37	-1.36	0.33	NA	762882
109494	chr1	879888	880040	-	43	158	0.21	153	7.7	-2.4	0.19	NA	879971
109497	chr1	880439	880551	-	36	70	0.07	113	-12.23	-2.94	0.04	NA	880460
109505	chr1	881584	881668	-	32	116	0.16	85	12.19	-2.34	0.13	NA	881634
109538	chr1	892328	892403	-	29	68	0.1	76	-5.82	-2.52	0.07	NA	892334
109540	chr1	892509	892538	-	11	59	0.42	30	-10.72	-0.6	0.25	NA	892510
109557	chr1	894624	894708	-	45	3718	0.18	85	-20.47	-1.97	0.28	NA	894645
109582	chr1	935444	935579	-	54	290	0.18	136	25.98	-2.61	0.2	NA	935558
109637	chr1	999596	999697	-	20	98	0.45	102	5.07	-0.87	0.33	NA	999660
109645	chr1	1004673	1004732	-	23	59	0.17	60	7.35	-2.09	0.1	NA	1004704
109741	chr1	1051459	1051515	-	30	300	0.25	57	-15.54	-1.67	0.25	NA	1051469
109814	chr1	1141917	1142195	-	98	645	0.14	279	-30.33	-3.36	0.19	NA	1141972
109823	chr1	1152337	1152429	-	25	62	0.24	93	-8.44	-1.92	0.16	NA	1152341
109859	chr1	1158650	1158742	-	33	109	0.51	93	28.6	-1.26	0.35	NA	1158737
109860	chr1	1159230	1159348	-	34	67	0.09	119	2.07	-2.84	0.05	NA	1159346
109863	chr1	1163868	1164171	-	58	156	0.1	304	-42.83	-3.3	0.1	NA	1163962
109869	chr1	1167278	1167481	-	83	1403	0.25	204	-8.22	-2.27	0.33	NA	1167366
109950	chr1	1209182	1209250	-	37	300	0.19	69	9.04	-2.11	0.21	NA	1209223
110011	chr1	1243186	1243297	-	34	96	0.23	112	21.65	-2.32	0.15	NA	1243275
110020	chr1	1246988	1247027	-	18	90	0.22	40	12.34	-1.45	0.17	NA	1247018
110089	chr1	1259983	1260078	-	58	1026	0.55	96	7.34	-1.12	0.47	NA	1260040
110146	chr1	1309140	1309290	-	58	624	0.25	151	-19.69	-1.63	0.38	NA	1309188
110148	chr1	1309399	1309748	-	150	472	0.06	350	-18.58	-4.63	0.08	NA	1309413
110158	chr1	1310508	1310945	-	192	5444	0.13	438	-121.32	-3.45	0.28	NA	1310562
110241	chr1	1334648	1334757	-	43	1078	0.19	110	10.63	-1.89	0.28	NA	1334716
110248	chr1	1337434	1337697	-	59	206	0.18	264	-1.17	-2.84	0.18	NA	1337512
110278	chr1	1342288	1342428	-	41	175	0.34	141	3.99	-1.92	0.27	NA	1342360
110279	chr1	1342510	1342732	-	132	6771	0.19	223	24.48	-2.54	0.36	NA	1342627
110335	chr1	1477081	1477215	-	43	1362	0.44	135	-43.96	-0.74	0.5	NA	1477100
110337	chr1	1477282	1477314	-	22	76	0.24	33	6.99	-1.67	0.18	NA	1477309
110400	chr1	1509880	1510104	-	86	1350	0.33	225	-1.22	-2.15	0.35	NA	1509984
110402	chr1	1510195	1510297	-	46	1266	0.58	103	0.02	-0.68	0.51	NA	1510243
110479	chr1	1577113	1577139	-	19	134	0.27	27	2.12	-1.49	0.18	NA	1577130
110488	chr1	1577735	1577874	-	31	142	0.27	140	37.72	-1.52	0.29	NA	1577873
110492	chr1	1580486	1580651	-	48	265	0.2	166	-8.48	-2.43	0.21	NA	1580523
110511	chr1	1586843	1586935	-	35	832	0.38	93	7.14	-0.74	0.47	NA	1586895
110519	chr1	1590384	1590488	-	41	649	0.2	105	19.58	-1.9	0.27	NA	1590466
110520	chr1	1590537	1590720	-	42	140	0.17	184	-12.94	-2.68	0.13	NA	1590556
110525	chr1	1593154	1593351	-	33	119	0.18	198	23.95	-2.2	0.17	NA	1593290
110638	chr1	1623900	1623972	-	29	247	0.42	73	7.78	-1.31	0.32	NA	1623946
110640	chr1	1624147	1624303	-	34	83	0.22	157	2.46	-2.45	0.13	NA	1624261
110683	chr1	1640274	1640353	-	26	175	0.42	80	1.06	-1.38	0.28	NA	1640329
110691	chr1	1640939	1640989	-	13	70	0.67	51	17.63	0.02	0.46	NA	1640985
110692	chr1	1641015	1641086	-	15	55	0.29	72	-0.66	-1.12	0.2	NA	1641014
110694	chr1	1643722	1643881	-	33	133	0.2	160	-12.92	-2.18	0.17	NA	1643807
110707	chr1	1647784	1647923	-	74	1208	0.39	140	54.14	-0.81	0.55	NA	1647917
110710	chr1	1650790	1650899	-	40	205	0.18	110	18.41	-2.14	0.22	NA	1650891
110712	chr1	1653056	1653114	-	17	253	0.39	59	20.26	-0.52	0.38	NA	1653107
110722	chr1	1655719	1655884	-	60	934	0.31	166	-30.18	-1.45	0.42	NA	1655773
110906	chr1	1709817	1709969	-	59	479	0.17	153	-6.41	-2.59	0.22	NA	1709909
110909	chr1	1710209	1710354	-	27	82	0.2	146	-7.9	-2.01	0.16	NA	1710254
110913	chr1	1711397	1711649	-	129	1662	0.21	253	-19.5	-2.76	0.32	NA	1711530
110915	chr1	1711890	1712006	-	36	208	0.26	117	-8.9	-1.96	0.23	NA	1711904
110921	chr1	1717101	1717224	-	23	160	0.46	124	31.73	-0.55	0.44	NA	1717196
110922	chr1	1717276	1717363	-	30	192	0.37	88	-29.35	-1.48	0.29	NA	1717281
110923	chr1	1717411	1717527	-	37	133	0.32	117	-6.02	-1.97	0.24	NA	1717475
110924	chr1	1717565	1717741	-	39	238	0.31	177	2.49	-1.71	0.3	NA	1717674
110928	chr1	1718263	1718271	-	8	271	0.63	9	-0.1	0.37	0.46	NA	1718266
110931	chr1	1718407	1718489	-	20	51	0.22	83	-15.41	-1.69	0.15	NA	1718407
110974	chr1	1735876	1736025	-	38	87	0.18	150	-14.28	-2.71	0.1	NA	1735895
110988	chr1	1747220	1747279	-	23	64	0.22	60	-0.8	-1.99	0.12	NA	1747240
111021	chr1	1756835	1756944	-	36	92	0.09	110	-2.47	-2.81	0.07	NA	1756858
111036	chr1	1770649	1770684	-	14	67	0.61	36	9.63	-0.24	0.41	NA	1770682
111157	chr1	1821841	1821914	-	26	69	0.22	74	-0.2	-2.16	0.11	NA	1821874
111161	chr1	1822279	1822622	-	195	3504	0.1	344	55	-3.59	0.27	NA	1822526
111241	chr1	2121010	2121021	-	9	72	0.47	12	1.92	-0.27	0.29	NA	2121017
111256	chr1	2126133	2126233	-	28	113	0.25	101	17	-1.85	0.2	NA	2126198
111262	chr1	2130663	2130762	-	39	291	0.38	100	-23.82	-1.64	0.31	NA	2130683
111364	chr1	2319727	2319782	-	21	74	0.26	56	14.03	-1.85	0.12	NA	2319778
111368	chr1	2322959	2323004	-	11	63	0.4	46	11.07	-0.54	0.27	NA	2322993
111422	chr1	2343954	2344062	-	32	123	0.15	109	-10.98	-2.31	0.14	NA	2343992
111513	chr1	2458030	2458058	-	20	333	0.45	29	-2.14	-0.91	0.33	NA	2458039
111568	chr1	2488403	2488498	-	53	204	0.14	96	-2.39	-3.01	0.13	NA	2488470
111899	chr1	3566534	3566693	-	59	693	0.58	160	39.44	-0.92	0.5	NA	3566667
111987	chr1	3663908	3663952	-	13	60	0.32	45	8.18	-0.98	0.19	NA	3663939
112001	chr1	3696815	3697050	-	76	380	0.22	236	-6.18	-2.93	0.21	NA	3696959
112003	chr1	3697205	3697242	-	13	53	0.34	38	8.54	-0.92	0.21	NA	3697234
112054	chr1	3713020	3713116	-	35	564	0.13	97	0.13	-2.14	0.19	NA	3713055
112157	chr1	3773729	3773833	-	34	416	0.48	105	-4.26	-1.15	0.38	NA	3773775
112204	chr1	3816735	3816896	-	73	877	0.13	162	8.03	-2.85	0.22	NA	3816822
112258	chr1	4420421	4420429	-	5	66	0.68	9	-0.15	0.73	0.45	NA	4420425
112578	chr1	6246774	6246843	-	11	165	0.87	70	7.87	1.03	0.72	NA	6246816
112595	chr1	6257793	6257817	-	18	354	0.42	25	-9.02	-0.41	0.42	NA	6257793
112603	chr1	6259562	6259738	-	84	3810	0.14	177	3.99	-2.38	0.31	NA	6259654
112688	chr1	6295985	6296096	-	46	519	0.22	112	-5.62	-2.13	0.25	NA	6296043
112717	chr1	6324369	6324446	-	34	202	0.22	78	-17.27	-1.94	0.23	NA	6324371
112777	chr1	6418964	6419109	-	33	67	0.1	146	-25.32	-2.66	0.08	NA	6418989
112795	chr1	6453343	6453508	-	45	140	0.11	166	13.41	-2.82	0.12	NA	6453418
112797	chr1	6453826	6453851	-	7	52	0.83	26	-9.56	0.92	0.61	NA	6453827
112850	chr1	6526173	6526257	-	49	418	0.26	85	1.76	-2.25	0.24	NA	6526212
112887	chr1	6570093	6570104	-	4	129	0.95	12	-5.2	1.62	0.81	NA	6570092
112893	chr1	6581640	6581841	-	38	114	0.23	202	-31.14	-2.36	0.17	NA	6581662
112898	chr1	6582102	6582139	-	14	136	0.23	38	8.43	-0.88	0.24	NA	6582128
112958	chr1	6608676	6608676	-	1	66	1	1	0	2	1	NA	6608675
112974	chr1	6614535	6614615	-	27	1246	0.56	81	5.39	-0.47	0.48	NA	6614573
113156	chr1	6741000	6741101	-	19	167	0.69	102	-31.69	-0.05	0.52	NA	6741004
113169	chr1	6761825	6762004	-	76	4482	0.18	180	-38.47	-2.02	0.36	NA	6761882
113373	chr1	8000864	8000960	-	50	2292	0.52	97	-11.45	-0.66	0.53	NA	8000897
113461	chr1	8413311	8413562	-	47	64	0.08	252	-22.41	-3.4	0.03	NA	8413448
113657	chr1	8483719	8483938	-	51	130	0.16	220	1.25	-2.98	0.12	NA	8483892
113659	chr1	8484000	8484228	-	69	167	0.1	229	-18.02	-3.39	0.12	NA	8484014
113660	chr1	8484267	8484334	-	13	75	0.65	68	22.81	-0.04	0.45	NA	8484328
113979	chr1	8763378	8763586	-	35	119	0.15	209	-5.24	-2.31	0.16	NA	8763452
114237	chr1	8877601	8877800	-	39	117	0.21	200	15.54	-2.45	0.16	NA	8877699
114250	chr1	8921076	8921352	-	91	1274	0.33	277	-92.07	-2	0.39	NA	8921104
114251	chr1	8921377	8921485	-	30	76	0.16	109	10.29	-2.5	0.08	NA	8921445
114263	chr1	8923293	8923402	-	31	95	0.34	110	-6.42	-1.76	0.24	NA	8923292
114266	chr1	8923979	8924088	-	31	69	0.19	110	9.47	-2.49	0.09	NA	8924016
114272	chr1	8925373	8925542	-	54	117	0.07	170	15.14	-3.45	0.05	NA	8925444
114281	chr1	8926337	8926567	-	151	3643	0.17	231	-6.99	-3.62	0.22	NA	8926448
114288	chr1	8927195	8927312	-	71	5089	0.52	118	-8.2	-0.56	0.58	NA	8927238
114293	chr1	8928072	8928118	-	35	634	0.18	47	-2.21	-2.16	0.19	NA	8928092
114323	chr1	8930546	8930627	-	25	233	0.34	82	-19.91	-1.39	0.27	NA	8930570
114341	chr1	8931949	8932031	-	45	521	0.1	83	4.05	-2.7	0.14	NA	8931981
114352	chr1	8934882	8935000	-	54	3221	0.33	119	0.76	-1.09	0.46	NA	8934940
114357	chr1	8935394	8935513	-	24	93	0.61	120	10.91	-0.62	0.43	NA	8935478
114375	chr1	8938056	8938143	-	26	115	0.34	88	-2.59	-1.57	0.24	NA	8938087
114378	chr1	8938363	8938424	-	20	57	0.18	62	-11.17	-1.97	0.08	NA	8938362
114381	chr1	8938657	8938897	-	161	372874	0.31	241	-30.28	-1.61	0.51	NA	8938745
114531	chr1	9129592	9129919	-	159	7765	0.52	328	-50.45	-1.41	0.53	NA	9129694
114737	chr1	9242348	9242459	-	27	96	0.33	112	-26.09	-1.74	0.21	NA	9242356
114930	chr1	9791303	9791412	-	30	74	0.3	110	3.76	-1.98	0.19	NA	9791377
114940	chr1	9794066	9794197	-	28	58	0.29	132	-3.03	-2.1	0.15	NA	9794134
115040	chr1	9883956	9884080	-	52	861	0.34	125	4.87	-1.59	0.37	NA	9884018
115057	chr1	9910544	9910625	-	34	114	0.19	82	-5.88	-2.29	0.16	NA	9910569
115091	chr1	9970283	9970445	-	37	154	0.31	163	-40.7	-1.85	0.26	NA	9970316
115141	chr1	10003086	10003461	-	121	554	0.2	376	69.69	-3.56	0.2	NA	10003357
